object_id,passband,tau_in,SF_in,tau_out,SF_out
1658030,u,1651.24,0.198,45.544954668283054,116.62822383559862
1658030,g,1651.24,0.176,97.04498372730728,115.29348608822554
1658030,r,1651.24,0.156,195.2167232504212,115.25948839172821
1658030,i,1651.24,0.142,211.37701730388557,122.89871861251326
1658030,z,1651.24,0.132,191.0136323195038,117.33702266453227
1658030,y,1651.24,0.124,204.2775700814236,114.60998891644263
2204069,u,252.04,0.187,79.42482795160574,53.46535644700188
2204069,g,252.04,0.165,210.98080274609256,88.62746097038877
2204069,r,252.04,0.147,61.840357470780916,75.0630397922458
2204069,i,252.04,0.133,50.32108375533129,71.37709783373995
2204069,z,252.04,0.124,114.92385819540029,123.3322249161668
2204069,y,252.04,0.117,93.50047022739592,123.04401931479426
2379457,u,117.41,0.549,70.51068892287866,16.387477784883643
2379457,g,117.41,0.486,30.211258523008333,15.287562583883824
2379457,r,117.41,0.431,14.829429678922564,15.522888416733792
2379457,i,117.41,0.392,97.37508053534768,25.654298223371846
2379457,z,117.41,0.365,4.3511075232874346,36.755420492927826
2379457,y,117.41,0.343,6.363303996050437,24.423225919309328
2585803,u,140.99,0.348,164.57906467819237,63.20425824439095
2585803,g,140.99,0.308,165.2613545508731,69.30377906511413
2585803,r,140.99,0.273,127.65659088659983,67.04808212759886
2585803,i,140.99,0.248,118.53922582843805,66.82562611376349
2585803,z,140.99,0.232,90.71358859897143,61.7712009244606
2585803,y,140.99,0.217,219.28117734680566,71.71557379174013
2779844,u,197.2,0.422,32.5585036384095,43.960990342865436
2779844,g,197.2,0.374,87.81607097736708,74.81704485931392
2779844,r,197.2,0.331,174.41264798611166,66.53335492184465
2779844,i,197.2,0.301,83.02920266928801,75.34430299419736
2779844,z,197.2,0.281,111.26311218923595,83.71336643997128
2779844,y,197.2,0.263,108.70324477584329,69.52592493919614
3112287,u,366.12,0.373,85.68219765220572,33.951288595454805
3112287,g,366.12,0.33,205.08441865772133,27.197378377826087
3112287,r,366.12,0.293,424.80948098500215,45.99503476059951
3112287,i,366.12,0.266,296.4984455621566,40.67180541664805
3112287,z,366.12,0.249,180.6374085807966,39.1148540565275
3112287,y,366.12,0.233,1.1337472382697162,22.746163765310175
3683797,u,192.67,0.466,207.62443864733632,199.99999999999994
3683797,g,192.67,0.412,132.04008252112408,199.99999999999994
3683797,r,192.67,0.365,232.91064536184265,199.99999999999994
3683797,i,192.67,0.332,111.99547519539635,199.99999999999994
3683797,z,192.67,0.31,129.33795379628035,199.99999999999994
3683797,y,192.67,0.291,122.30506669218248,199.99999999999994
3797431,u,483.62,0.27,73.19690408422541,113.03135830339251
3797431,g,483.62,0.239,381.5605558680926,184.58585285884624
3797431,r,483.62,0.212,161.42268612951494,101.51911092623763
3797431,i,483.62,0.193,80.54272238731734,70.54527925485273
3797431,z,483.62,0.18,129.92345087300953,107.50316561629118
3797431,y,483.62,0.169,209.76534998004217,140.8961075677363
4137934,u,328.48,0.289,28.409205097747503,28.123318121663786
4137934,g,328.48,0.256,12.629291357183087,22.0103926161748
4137934,r,328.48,0.227,43.77722893662891,27.68579249892284
4137934,i,328.48,0.206,38.069841450596556,27.028406787445086
4137934,z,328.48,0.193,16.977768184097375,21.377428051543955
4137934,y,328.48,0.181,48.86250124340155,26.729452395078717
4402965,u,266.88,0.266,403.91044281191586,37.22937268782376
4402965,g,266.88,0.235,382.0583796024799,34.806583943471175
4402965,r,266.88,0.208,759.582406554914,41.007914415317316
4402965,i,266.88,0.189,548.5865973976471,52.79992462829088
4402965,z,266.88,0.177,585.1587227488089,45.460405495733774
4402965,y,266.88,0.166,598.8858043551882,48.41790889867917
4546786,u,863.59,0.189,135.3837795549368,199.99999999999994
4546786,g,863.59,0.167,121.80370234475177,199.99999999999994
4546786,r,863.59,0.148,186.65825713142695,199.99999999999994
4546786,i,863.59,0.134,179.69011142319454,199.99999999999994
4546786,z,863.59,0.126,240.60258791445233,199.99999999999994
4546786,y,863.59,0.118,230.5618410967924,199.99999999999994
4718501,u,218.88,0.201,218.87999999999994,0.201
4718501,g,218.88,0.178,218.88373259810473,0.17805059783313765
4718501,r,218.88,0.158,42.28763316491011,199.99999999999994
4718501,i,218.88,0.143,159.55841856158798,199.99999999999994
4718501,z,218.88,0.134,118.22581629346665,199.99999999999994
4718501,y,218.88,0.125,118.48944878340882,199.99999999999994
4966507,u,369.81,0.405,306.4196509878453,23.003808177062485
4966507,g,369.81,0.358,704.1947648047719,24.626649381142702
4966507,r,369.81,0.318,209.92469452463902,21.496651619250628
4966507,i,369.81,0.289,137.611625831635,21.92761674090828
4966507,z,369.81,0.269,391.086574031636,17.9032786969397
4966507,y,369.81,0.253,202.09425050438824,23.32413132768052
6660231,u,246.7,0.589,235.7315783475546,21.309606924477716
6660231,g,246.7,0.521,242.3091430672907,25.0466049524905
6660231,r,246.7,0.462,305.4820003258948,19.128466298200067
6660231,i,246.7,0.42,428.8954800892213,18.289856548774782
6660231,z,246.7,0.392,179.38361805332133,20.007217335779067
6660231,y,246.7,0.367,386.0653521662613,30.497966101108883
6777396,u,552.88,0.364,150.3223158996491,35.02357076038131
6777396,g,552.88,0.322,158.7432819168085,40.50278436373505
6777396,r,552.88,0.286,140.6271330111066,35.031991959256416
6777396,i,552.88,0.26,148.97028701155705,27.322033888116955
6777396,z,552.88,0.243,398.86917691942625,40.21259057230449
6777396,y,552.88,0.227,497.9441656610009,24.410473288777247
7284232,u,273.04,0.514,1.0,14.046880176229038
7284232,g,273.04,0.455,75.49042312168845,9.59498531186466
7284232,r,273.04,0.403,97.14932012790058,9.9864476833186
7284232,i,273.04,0.366,4.596395298855947,13.586910075831774
7284232,z,273.04,0.342,337.64619970753165,28.480428574992818
7284232,y,273.04,0.321,307.75885313703685,43.33336699955673
7285136,u,387.36,0.413,1.0,15.114280812016043
7285136,g,387.36,0.365,28.112982514605886,25.217365412775642
7285136,r,387.36,0.324,77.13206385877444,18.595828406626126
7285136,i,387.36,0.294,49.5055368457808,23.638669146585514
7285136,z,387.36,0.275,36.63227976773736,22.143038941949026
7285136,y,387.36,0.257,92.81180917809857,42.55285465211245
10552582,u,281.56,0.271,281.55179764250744,0.27103369958459184
10552582,g,281.56,0.24,201.5436587482682,41.61482593787577
10552582,r,281.56,0.213,171.79637981062564,49.18608757558246
10552582,i,281.56,0.193,104.04361823376912,41.71590249461919
10552582,z,281.56,0.181,63.373642655296536,46.75897258530379
10552582,y,281.56,0.169,169.71799678044295,56.27229699138905
10818211,u,210.62,0.368,118.08235839260291,12.189897963495968
10818211,g,210.62,0.325,43.195296779165616,7.096934207767349
10818211,r,210.62,0.288,45.30698669029508,18.771391666029146
10818211,i,210.62,0.262,71.58584986937309,10.540050548755218
10818211,z,210.62,0.245,40.701759815224115,17.50659194959474
10818211,y,210.62,0.229,107.11242759605392,22.996129522629634
10840631,u,551.91,0.138,551.9100000000001,0.13800000000000004
10840631,g,551.91,0.122,551.9100000000001,0.12200000000000001
10840631,r,551.91,0.108,551.9052941523385,0.10802363808017504
10840631,i,551.91,0.098,551.9052941523385,0.09800933129148455
10840631,z,551.91,0.092,551.8974511620665,0.09201359795068961
10840631,y,551.91,0.086,551.9052941523385,0.08600244430176131
10916426,u,588.08,0.295,131.01400174024292,45.606738428020414
10916426,g,588.08,0.261,216.79865462884052,36.76110529915777
10916426,r,588.08,0.232,180.82721267729906,36.449959413962056
10916426,i,588.08,0.211,163.71492046606787,34.35112822951807
10916426,z,588.08,0.197,175.0263498913873,34.06362979334618
10916426,y,588.08,0.184,65.81498555621432,45.048192790562055
11190879,u,258.99,0.536,15.308148014259725,27.13467366325566
11190879,g,258.99,0.474,688.1875455819675,21.855871372443982
11190879,r,258.99,0.42,476.11231268471414,21.303736224777975
11190879,i,258.99,0.382,915.2327236465522,22.680125596939337
11190879,z,258.99,0.357,559.5592160130157,28.65840488852239
11190879,y,258.99,0.334,580.1858218256958,31.59178127802222
11225240,u,205.55,0.346,205.54853948458648,0.346045238950207
11225240,g,205.55,0.306,205.54824738274925,0.30598456313781586
11225240,r,205.55,0.271,20.527946578843437,62.92471686550257
11225240,i,205.55,0.247,248.44295579775616,199.99999999999994
11225240,z,205.55,0.23,166.35320673617522,199.99999999999994
11225240,y,205.55,0.216,128.12787059453424,199.99999999999994
11484152,u,244.54,0.457,284.8328982124664,33.02173981988051
11484152,g,244.54,0.404,223.85616396140634,40.68525020930702
11484152,r,244.54,0.359,182.16193401371018,36.73581710168372
11484152,i,244.54,0.326,160.6204733116118,32.78564994695419
11484152,z,244.54,0.304,290.8110954637805,39.83420625283253
11484152,y,244.54,0.285,157.21734501025682,37.003610409259124
11688781,u,132.31,0.402,47.50022866723471,18.058632344451823
11688781,g,132.31,0.356,23.04144431690505,25.192766760823687
11688781,r,132.31,0.316,28.96470470001817,22.396150282240512
11688781,i,132.31,0.287,56.949235190519204,22.210261715636527
11688781,z,132.31,0.268,33.30538102895313,17.079963064276555
11688781,y,132.31,0.251,2.7946621824015265,31.71383230084651
